Well plate	ID_sample	FullIDOld	Site	Sector	PlantOld	Leaf	Succession	PitcherLength	KeelWidth	PitcherWidth	MouthWidth	Comments	FreshMass	DryMass
C5	283	LV-3-10-12-E	LV	3	10	12	E	8.5	2.7	1.6	0.79		0.93	0.179
D2	284	LV-3-10-13-E	LV	3	10	13	E	8.2	2.3	0.9	0.47		0.647	0.107
C2	285	LV-3-10-14-E	LV	3	10	14	E	9.9	3.1	1.4	0.77		1.054	0.228
B11	286	LV-3-10-15-E	LV	3	10	15	E	7.3	2.6	1.2	0.51		0.59	0.121
E4	300	LV-3-11-1-L	LV	3	11	1	L	15	3.9	2	1.48		2.299	0.497
E6	293	LV-3-11-2-E	LV	3	11	2	E	12.7	3.4	1.9	1.21		1.705	0.31
F2	294	LV-3-11-3-E	LV	3	11	3	E	10.2	3.2	1.6	1.01		1.263	0.238
E8	295	LV-3-11-4-E	LV	3	11	4	E	10.5	3	1.4	0.9		1.041	0.21
G3	296	LV-3-11-5-L	LV	3	11	5	L	13.4	3.8	2.1	1.14		0.641	0.332
G10	297	LV-3-11-6-L	LV	3	11	6	L	13.3	3.4	1.8	1.17		1.276	0.277
D10	288	LV-3-11-7-E	LV	3	11	7	E	14.1	3.9	2.2	1.16		2.229	0.411
G5	287	LV-3-12-16-L	LV	3	12	16	L	11.9	3.4	1.7	0.97		1.467	0.284
E5	317	LV-4-15-1-E	LV	4	15	1	E	12.6	4.5	2.8	1.45		1.883	0.363
E3	318	LV-4-15-2-L	LV	4	15	2	L	13.9	4.9	1.8	1.21		2.025	0.446
H7	319	LV-4-15-3-L	LV	4	15	3	L	14.3	4.2	1.8	1.9		1.776	0.34
D4	320	LV-4-15-4-L	LV	4	15	4	L	16.6	5.4	1.9	1.785		2.023	0.519
F7	321	LV-4-15-5-E	LV	4	15	5	E	10.4	3.9	2	1.05		1.234	0.248
F3	312	LV-4-15-6-E	LV	4	15	6	E	10.1	4.2	1.8	1.2		1.128	0.23
G11	313	LV-4-15-7-E	LV	4	15	7	E	10.2	4.2	2	1.1	broken mouth	1.272	0.269
F8	314	LV-4-15-8-E	LV	4	15	8	E	8.5	2.9	1.4	0.71		0.674	0.135
C3	315	LV-4-15-9-E	LV	4	15	9	E	10	4	1.8	1.04		1.254	0.26
F5	307	LV-4-15-10-L	LV	4	15	10	L	14.1	4.6	2	1.1	broken hood	1.711	0.332
B3	309	LV-4-15-11-E	LV	4	15	11	E	16.3	6	2.8	1.57		3.178	0.625
B6	311	LV-4-15-12-E	LV	4	15	12	E	12.5	4.3	1.6	1.36		1.849	0.355
D3	308	LV-4-15-13-L	LV	4	15	13	L	14.1	4.8	2.2	1.48	broken hood	1.745	0.34
G8	310	LV-4-18-14-L	LV	4	18	14	L	10.6	4.1	1.5	1.35		1.592	0.361
B5	316	LV-4-18-15-L	LV	4	18	15	L	9	3.2	1.3	0.98		1.022	0.22
E10	306	LV-4-18-16-L	LV	4	18	16	L	8	2.2	1.1	0.25	damaged keel	0.546	0.119
